,key,state,pct_vote,vote_count,del,super_del,delegates_total,Candidate,dropped_out,drop_date
16,Mar 03,Texas,11.4,237028.0,5,0,70,Warren,True,03/05/2020
17,Mar 03,Utah,16.3,34398.0,0,0,70,Warren,True,03/05/2020
18,Mar 03,Vermont,12.6,19816.0,0,0,70,Warren,True,03/05/2020
19,Mar 03,Virginia,10.7,142470.0,2,0,70,Warren,True,03/05/2020
20,Mar 10,Idaho,2.7,2865.0,0,0,70,Warren,True,03/05/2020
21,Mar 10,Michigan,1.6,26051.0,0,0,70,Warren,True,03/05/2020
22,Mar 10,Mississippi,0.5,1416.0,0,0,70,Warren,True,03/05/2020
23,Mar 10,Missouri,1.2,8115.0,0,0,70,Warren,True,03/05/2020
24,Mar 10,North Dakota,2.5,366.0,0,0,70,Warren,True,03/05/2020
25,Mar 10,Washington,12.3,126093.0,0,0,70,Warren,True,03/05/2020
0,Feb 03,Iowa,15.8,340.0,6,0,861,Biden,False,
1,Feb 11,New Hampshire,8.4,24921.0,0,0,861,Biden,False,
2,Feb 22,Nevada,20.2,2927.0,9,0,861,Biden,False,
3,Feb 29,South Carolina,48.4,256047.0,39,0,861,Biden,False,
4,Mar 03,Alabama,63.3,286065.0,44,0,861,Biden,False,
5,Mar 03,American Samoa,0.0,,0,0,861,Biden,False,
6,Mar 03,Arkansas,40.5,92586.0,17,0,861,Biden,False,
7,Mar 03,California,27.5,1298679.0,159,0,861,Biden,False,
8,Mar 03,Colorado,24.7,232183.0,12,0,861,Biden,False,
9,Mar 03,Democrats Abroad,0.0,,0,0,861,Biden,False,
10,Mar 03,Maine,34.1,68396.0,11,0,861,Biden,False,
11,Mar 03,Massachusetts,33.6,470294.0,37,0,861,Biden,False,
12,Mar 03,Minnesota,38.6,287464.0,38,0,861,Biden,False,
13,Mar 03,North Carolina,43.0,568581.0,67,0,861,Biden,False,
14,Mar 03,Oklahoma,38.7,117552.0,21,0,861,Biden,False,
15,Mar 03,Tennessee,41.7,215005.0,33,0,861,Biden,False,
16,Mar 03,Texas,34.5,716030.0,111,0,861,Biden,False,
17,Mar 03,Utah,18.5,38999.0,5,0,861,Biden,False,
18,Mar 03,Vermont,22.0,34734.0,5,0,861,Biden,False,
19,Mar 03,Virginia,53.2,705800.0,66,0,861,Biden,False,
20,Mar 10,Idaho,48.9,52679.0,11,0,861,Biden,False,
21,Mar 10,Michigan,52.9,838564.0,72,0,861,Biden,False,
22,Mar 10,Mississippi,81.1,218538.0,31,0,861,Biden,False,
23,Mar 10,Missouri,60.1,399439.0,44,0,861,Biden,False,
24,Mar 10,North Dakota,39.8,5742.0,6,0,861,Biden,False,
25,Mar 10,Washington,32.5,333414.0,17,0,861,Biden,False,
0,Feb 03,Iowa,12.3,264.0,1,0,7,Klobuchar,True,03/02/2020
1,Feb 11,New Hampshire,19.8,58796.0,6,0,7,Klobuchar,True,03/02/2020
2,Feb 22,Nevada,4.2,603.0,0,0,7,Klobuchar,True,03/02/2020
3,Feb 29,South Carolina,3.2,16677.0,0,0,7,Klobuchar,True,03/02/2020
4,Mar 03,Alabama,0.2,907.0,0,0,7,Klobuchar,True,03/02/2020
5,Mar 03,American Samoa,0.0,,0,0,7,Klobuchar,True,03/02/2020
6,Mar 03,Arkansas,3.1,7014.0,0,0,7,Klobuchar,True,03/02/2020
7,Mar 03,California,2.5,118588.0,0,0,7,Klobuchar,True,03/02/2020
8,Mar 03,Colorado,0.0,0.0,0,0,7,Klobuchar,True,03/02/2020
9,Mar 03,Democrats Abroad,0.0,,0,0,7,Klobuchar,True,03/02/2020
10,Mar 03,Maine,1.4,2744.0,0,0,7,Klobuchar,True,03/02/2020
11,Mar 03,Massachusetts,1.2,16862.0,0,0,7,Klobuchar,True,03/02/2020
12,Mar 03,Minnesota,5.6,41508.0,0,0,7,Klobuchar,True,03/02/2020
13,Mar 03,North Carolina,2.3,30641.0,0,0,7,Klobuchar,True,03/02/2020
14,Mar 03,Oklahoma,2.2,6728.0,0,0,7,Klobuchar,True,03/02/2020
15,Mar 03,Tennessee,2.1,10645.0,0,0,7,Klobuchar,True,03/02/2020
16,Mar 03,Texas,2.1,43027.0,0,0,7,Klobuchar,True,03/02/2020
17,Mar 03,Utah,3.6,7519.0,0,0,7,Klobuchar,True,03/02/2020
18,Mar 03,Vermont,1.3,2023.0,0,0,7,Klobuchar,True,03/02/2020
19,Mar 03,Virginia,0.6,8413.0,0,0,7,Klobuchar,True,03/02/2020
20,Mar 10,Idaho,0.7,769.0,0,0,7,Klobuchar,True,03/02/2020
21,Mar 10,Michigan,0.7,10969.0,0,0,7,Klobuchar,True,03/02/2020
22,Mar 10,Mississippi,0.2,415.0,0,0,7,Klobuchar,True,03/02/2020
23,Mar 10,Missouri,0.4,2677.0,0,0,7,Klobuchar,True,03/02/2020
24,Mar 10,North Dakota,1.5,223.0,0,0,7,Klobuchar,True,03/02/2020
25,Mar 10,Washington,3.1,31425.0,0,0,7,Klobuchar,True,03/02/2020
0,Feb 03,Iowa,1.0,22.0,0,0,0,Yang,True,02/11/2020
1,Feb 11,New Hampshire,2.8,8315.0,0,0,0,Yang,True,02/11/2020
2,Feb 22,Nevada,0.0,1.0,0,0,0,Yang,True,02/11/2020
3,Feb 29,South Carolina,0.2,1045.0,0,0,0,Yang,True,02/11/2020
4,Mar 03,Alabama,0.2,875.0,0,0,0,Yang,True,02/11/2020
5,Mar 03,American Samoa,0.0,,0,0,0,Yang,True,02/11/2020
6,Mar 03,Arkansas,0.3,730.0,0,0,0,Yang,True,02/11/2020
7,Mar 03,California,0.8,38522.0,0,0,0,Yang,True,02/11/2020
8,Mar 03,Colorado,0.4,3915.0,0,0,0,Yang,True,02/11/2020
9,Mar 03,Democrats Abroad,0.0,,0,0,0,Yang,True,02/11/2020
10,Mar 03,Maine,0.3,670.0,0,0,0,Yang,True,02/11/2020
11,Mar 03,Massachusetts,0.2,2621.0,0,0,0,Yang,True,02/11/2020
12,Mar 03,Minnesota,0.2,1755.0,0,0,0,Yang,True,02/11/2020
13,Mar 03,North Carolina,0.2,3021.0,0,0,0,Yang,True,02/11/2020
14,Mar 03,Oklahoma,0.7,1993.0,0,0,0,Yang,True,02/11/2020
15,Mar 03,Tennessee,0.2,1097.0,0,0,0,Yang,True,02/11/2020
16,Mar 03,Texas,0.3,6673.0,0,0,0,Yang,True,02/11/2020
17,Mar 03,Utah,0.4,901.0,0,0,0,Yang,True,02/11/2020
18,Mar 03,Vermont,0.4,589.0,0,0,0,Yang,True,02/11/2020
19,Mar 03,Virginia,0.3,3364.0,0,0,0,Yang,True,02/11/2020
20,Mar 10,Idaho,0.3,308.0,0,0,0,Yang,True,02/11/2020
21,Mar 10,Michigan,0.2,2381.0,0,0,0,Yang,True,02/11/2020
22,Mar 10,Mississippi,0.2,445.0,0,0,0,Yang,True,02/11/2020
23,Mar 10,Missouri,0.1,952.0,0,0,0,Yang,True,02/11/2020
24,Mar 10,North Dakota,0.1,20.0,0,0,0,Yang,True,02/11/2020
25,Mar 10,Washington,0.5,4872.0,0,0,0,Yang,True,02/11/2020
